[ 2023-06-26 00:43:31,978 ] Asset loading complete
[ 2023-06-26 00:43:32,073 ] Could not find Sound Effect ID 688
[ 2023-06-26 00:43:53,026 ] Could not find Sound Effect ID 688
[ 2023-06-26 00:43:53,344 ] Could not find Sound Effect ID 688
[ 2023-06-26 00:44:17,492 ] Using spritesheet cache size of 910
[ 2023-06-26 00:44:17,931 ] Asset loading complete
[ 2023-06-26 00:44:36,339 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:44:36,822 ] BattlEye: "Initialized (v1.249)"
[ 2023-06-26 00:44:36,822 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-06-26 00:44:36,822 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-06-26 00:44:36,822 ] BattlEye: "Config entry: GameID tibia"
[ 2023-06-26 00:44:36,822 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-06-26 00:44:36,854 ] Request connection to gameserver  "tcp://158.69.59.188:7172"  (unprotected:  "tcp://158.69.59.188:7172" )  requested (Charakter "Admin Zeltix" )
[ 2023-06-26 00:44:36,859 ] Request connection to gameserver  "tcp://158.69.59.188:7172" "Midnight"
[ 2023-06-26 00:44:36,952 ] Connected to gameserver  "tcp://158.69.59.188:7172" "Midnight"
[ 2023-06-26 00:44:38,077 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:44:53,310 ] Connection to gameserver  "tcp://158.69.59.188:7172" "Midnight"  was disconnected ( "The remote host closed the connection" )
[ 2023-06-26 00:44:53,346 ] Disconnected from gameserver
[ 2023-06-26 00:44:53,770 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:47:55,396 ] Using spritesheet cache size of 910
[ 2023-06-26 00:47:55,829 ] Asset loading complete
[ 2023-06-26 00:52:40,313 ] Using spritesheet cache size of 910
[ 2023-06-26 00:52:41,026 ] Asset loading complete
[ 2023-06-26 00:54:05,935 ] Using spritesheet cache size of 910
[ 2023-06-26 00:54:06,381 ] Asset loading complete
[ 2023-06-26 00:55:14,091 ] Using spritesheet cache size of 910
[ 2023-06-26 00:55:14,886 ] Asset loading complete
[ 2023-06-26 00:55:25,450 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:55:26,295 ] BattlEye: "Initialized (v1.249)"
[ 2023-06-26 00:55:26,295 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-06-26 00:55:26,295 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-06-26 00:55:26,295 ] BattlEye: "Config entry: GameID tibia"
[ 2023-06-26 00:55:26,295 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-06-26 00:55:26,328 ] Request connection to gameserver  "tcp://158.69.59.188:7172"  (unprotected:  "tcp://158.69.59.188:7172" )  requested (Charakter "Admin Zeltix" )
[ 2023-06-26 00:55:26,333 ] Request connection to gameserver  "tcp://158.69.59.188:7172" "Midnight"
[ 2023-06-26 00:55:26,428 ] Connected to gameserver  "tcp://158.69.59.188:7172" "Midnight"
[ 2023-06-26 00:55:27,530 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:55:36,808 ] Connection to gameserver  "tcp://158.69.59.188:7172" "Midnight"  was disconnected ( "The remote host closed the connection" )
[ 2023-06-26 00:55:36,841 ] Disconnected from gameserver
[ 2023-06-26 00:55:37,252 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:58:01,901 ] Using spritesheet cache size of 910
[ 2023-06-26 00:58:02,343 ] Asset loading complete
[ 2023-06-26 00:58:12,859 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:58:13,755 ] BattlEye: "Initialized (v1.249)"
[ 2023-06-26 00:58:13,755 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-06-26 00:58:13,755 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-06-26 00:58:13,755 ] BattlEye: "Config entry: GameID tibia"
[ 2023-06-26 00:58:13,755 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-06-26 00:58:13,789 ] Request connection to gameserver  "tcp://158.69.59.188:7172"  (unprotected:  "tcp://158.69.59.188:7172" )  requested (Charakter "Admin Zeltix" )
[ 2023-06-26 00:58:13,793 ] Request connection to gameserver  "tcp://158.69.59.188:7172" "Midnight"
[ 2023-06-26 00:58:13,878 ] Connected to gameserver  "tcp://158.69.59.188:7172" "Midnight"
[ 2023-06-26 00:58:15,008 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:58:16,821 ] Connection to gameserver  "tcp://158.69.59.188:7172" "Midnight"  was disconnected ( "The remote host closed the connection" )
[ 2023-06-26 00:58:16,856 ] Disconnected from gameserver
[ 2023-06-26 00:58:17,289 ] News query failed: "Unrecognized event news."
